imdbId,tvdbId,tmdbId,tvmazeId
tt2224685,349501,80404,
tt9248602,350200,81074,40785
tt9077092,356345,88574,92361
tt9426290,366171,96676,45385
tt9169598,,75127,28346
tt7633184,,105371,
tt9094442,363495,89080,51669
tt7356206,339854,76818,32087
tt8254348,360278,87030,43995
tt5848038,328990,75714,28758
tt11150912,375179,96870,45536
tt10665206,401979,129490,68646
tt9669346,369992,133623,
tt10394706,364215,97456,44236
tt10163196,394028,106483,
tt27471292,377584,99875,46185
tt13199546,375644,99361,45771
tt12739058,375644,99361,45771
tt11905720,378181,100729,46640
tt12299488,381233,102859,47964
tt9213216,357842,83280,45777
tt12140626,379383,96119,70044
tt32523706,450026,113052,
tt11992162,388625,108459,50467
tt7441984,387802,108681,50510
tt6603576,319813,68881,
tt13179198,,111124,51306
tt13364024,393724,49078,53756
tt13854248,396081,117736,53262
tt13376972,397741,115145,
tt10530900,366233,90966,53238
tt21862874,,127871,
tt14959096,404949,128880,55927
tt15374276,406364,129063,57365
tt15305982,381841,135200,58026
tt2348531,256605,319770,
tt13428278,390006,111739,
tt15307896,410221,134200,91207
tt13868972,409246,138211,60326
tt8420556,347788,116985,
tt16969794,,194951,
tt22309050,394339,196429,65819
tt28226395,435858,228277,69996
tt2493468,263782,223246,89922
tt18926116,,226340,61566
tt29507363,421494,195488,71130
tt21916016,426319,204074,69454
tt18689540,418260,195833,
tt23037654,426641,213635,64999
tt16369058,415211,155654,
tt22872838,426417,213193,64907
tt22460828,420779,134331,64996
tt22726272,424857,213152,64556
tt16913068,396874,214078,65338
tt16492574,412216,327148,
tt22001792,424450,209648,63983
tt13652996,,230337,
tt27531662,434965,221725,69650
tt27598784,434181,219324,
tt27423772,435490,225094,
tt22353832,437864,218846,
tt27664007,427603,214994,68562
tt14312582,394439,116978,58515
tt33317590,435631,230833,77706
tt28486727,434172,232812,72484
tt5804854,79300,135352,91711
tt30333603,436409,230824,73761
tt25386392,428668,136444,66102
tt31240024,446836,249381,76029
tt31712703,462361,254079,
tt33291839,443728,270825,79450
tt30143510,440735,236956,79251
tt28512830,439926,243224,72103
tt22802620,,249112,
tt36056620,462241,232402,85537
tt28479951,,261597,
tt30695080,433681,242496,69747
tt37497125,,280382,
tt37894721,,302921,
tt36584543,470756,306355,88752
tt39378786,474211,300239,
tt8710226,,327467,
